,imdb_title_id,title,year,genre,duration,director,actors,avg_vote,worldwide_gross_income,Title_x,Release Year_x,Locations,Production Company_x,Distributor_x,Title_y,Release Year_y,Fun Facts,Production Company_y,Distributor_y,Director,Writer,Actor 1,Actor 2,Actor 3
22,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,A View to a Kill,1985,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
24,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Foul Play,1978,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
25,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Invasion of the Body Snatchers,1978,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
26,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Jagged Edge,1985,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote
27,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Magnum Force,1973,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
28,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,San Francisco,1936,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
29,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,The Enforcer,1976,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
30,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,The Right Stuff,1983,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris
31,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Tucker: The Man and His Dream,1988,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Lucasfilm,Paramount Pictures,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,Joan Allen,Marin Landau
32,tt0182789,Bicentennial Man,1999,"Comedy, Drama, Sci-Fi",132,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Eisenberg, Lindze Letherman, Angela Landis, John Michael Higgins, Bradley Whitford, Igor Hiller, Joe Bellan, Brett Wagner, Stephen Root",6.9,87423861,Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,When We Rise,2017,"Exterior scenes include re-creating the White Night Riots on May 21, 1979 and the Gay Freedom March. Interior scenes included the wedding ceremony for Roma and Diane which had a few Board of Supervisors in the ceremony. The current Clerk for the Board of Supervisors played herself in one of the scenes filmed in the Chambers.",Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
33,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,A View to a Kill,1985,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
35,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,Foul Play,1978,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
36,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,Invasion of the Body Snatchers,1978,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
37,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,Jagged Edge,1985,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote
38,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,Magnum Force,1973,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
39,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,San Francisco,1936,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
40,tt1013753,Milk,2008,"Biography, Drama",128,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons",7.5,54589558,Milk,2008,City Hall,Focus Features,Focus Features,The Enforcer,1976,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
