,imdb_title_id,title,year,genre,duration,director,actors,avg_vote,worldwide_gross_income,Title,Release Year,Locations,Production Company,Distributor
15,tt0029852,Alexander's Ragtime Band,1938,"Drama, Music, Musical",106,Henry King,"Tyrone Power, Alice Faye, Don Ameche, Ethel Merman, Jack Haley, Jean Hersholt, Helen Westley, John Carradine, Paul Hurst, Wally Vernon, Ruth Terry, Douglas Fowley, Chick Chandler, Eddie Collins, Joseph Crehan",6.9,0,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation
16,tt0029852,Alexander's Ragtime Band,1938,"Drama, Music, Musical",106,Henry King,"Tyrone Power, Alice Faye, Don Ameche, Ethel Merman, Jack Haley, Jean Hersholt, Helen Westley, John Carradine, Paul Hurst, Wally Vernon, Ruth Terry, Douglas Fowley, Chick Chandler, Eddie Collins, Joseph Crehan",6.9,0,Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation
17,tt0034172,Shadow of the Thin Man,1941,"Comedy, Crime, Mystery",97,W.S. Van Dyke,"William Powell, Myrna Loy, Barry Nelson, Donna Reed, Sam Levene, Alan Baxter, Henry O'Neill, Richard Hall, Stella Adler, Loring Smith, Joseph Anthony, Lou Lubin, Louise Beavers, Asta",7.3,0,Shadow of the Thin Man,1941,Bay Bridge,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer
18,tt0034778,Gentleman Jim,1942,"Biography, Drama, Romance",104,Raoul Walsh,"Errol Flynn, Alexis Smith, Jack Carson, Alan Hale, John Loder, William Frawley, Minor Watson, Ward Bond, Madeleine Lebeau, Rhys Williams, Arthur Shields, Dorothy Vaughan",7.6,0,Gentleman Jim,1942,The Barbary Coast,Warner Bros. Pictures,Warner Bros. Pictures
19,tt0035982,"Hello Frisco, Hello",1943,"Comedy, Music, Musical",99,H. Bruce Humberstone,"Alice Faye, John Payne, Jack Oakie, Lynn Bari, Laird Cregar, June Havoc, Ward Bond, Aubrey Mather, John Archer, Frank Orth, George Lloyd, Frank Darien, Harry Hayden, Eddie Dunn, Charles Cane",6.7,0,"Hello Frisco, Hello",1943,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation
20,tt0039302,Dark Passage,1947,"Film-Noir, Thriller",106,Delmer Daves,"Humphrey Bogart, Lauren Bacall, Bruce Bennett, Agnes Moorehead, Tom D'Andrea, Clifton Young, Douglas Kennedy, Rory Mallinson, Houseley Stevenson, John Alvin",7.5,9693,Dark Passage,1947,Golden Gate Bridge,Warner Bros. Pictures,Warner Bros. Pictures
21,tt0039302,Dark Passage,1947,"Film-Noir, Thriller",106,Delmer Daves,"Humphrey Bogart, Lauren Bacall, Bruce Bennett, Agnes Moorehead, Tom D'Andrea, Clifton Young, Douglas Kennedy, Rory Mallinson, Houseley Stevenson, John Alvin",7.5,9693,Dark Passage,1947,"Filbert Steps, Filbert Street",Warner Bros. Pictures,Warner Bros. Pictures
22,tt0039302,Dark Passage,1947,"Film-Noir, Thriller",106,Delmer Daves,"Humphrey Bogart, Lauren Bacall, Bruce Bennett, Agnes Moorehead, Tom D'Andrea, Clifton Young, Douglas Kennedy, Rory Mallinson, Houseley Stevenson, John Alvin",7.5,9693,Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),Warner Bros. Pictures,Warner Bros. Pictures
23,tt0039666,Nora Prentiss,1947,"Drama, Film-Noir",111,Vincent Sherman,"Ann Sheridan, Kent Smith, Bruce Bennett, Robert Alda, Rosemary DeCamp, John Ridgely, Robert Arthur, Wanda Hendrix, Helen Brown, Rory Mallinson, Harry Shannon, James Flavin, Douglas Kennedy, Don McGuire, Clifton Young",7.2,0,Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),Warner Bros. Pictures,Warner Bros. Pictures
24,tt0040458,I Remember Mama,1948,"Drama, Family",134,George Stevens,"Irene Dunne, Barbara Bel Geddes, Oskar Homolka, Philip Dorn, Cedric Hardwicke, Edgar Bergen, Rudy Vallee, Barbara O'Neil, Florence Bates, Peggy McIntyre, June Hedin, Steve Brown, Ellen Corby, Hope Landin, Edith Evanson",7.9,0,I Remember Mama,1948,Grant Avenue (North Beach),RKO Radio Pictures,RKO Radio Pictures
25,tt0040458,I Remember Mama,1948,"Drama, Family",134,George Stevens,"Irene Dunne, Barbara Bel Geddes, Oskar Homolka, Philip Dorn, Cedric Hardwicke, Edgar Bergen, Rudy Vallee, Barbara O'Neil, Florence Bates, Peggy McIntyre, June Hedin, Steve Brown, Ellen Corby, Hope Landin, Edith Evanson",7.9,0,I Remember Mama,1948,The Ferry Building,RKO Radio Pictures,RKO Radio Pictures
26,tt0040458,I Remember Mama,1948,"Drama, Family",134,George Stevens,"Irene Dunne, Barbara Bel Geddes, Oskar Homolka, Philip Dorn, Cedric Hardwicke, Edgar Bergen, Rudy Vallee, Barbara O'Neil, Florence Bates, Peggy McIntyre, June Hedin, Steve Brown, Ellen Corby, Hope Landin, Edith Evanson",7.9,0,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)",RKO Radio Pictures,RKO Radio Pictures
27,tt0040525,The Lady from Shanghai,1947,"Crime, Drama, Film-Noir",87,Orson Welles,"Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders, Ted de Corsia, Erskine Sanford, Gus Schilling, Carl Frank, Louis Merrill, Evelyn Ellis, Harry Shannon",7.6,0,The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),Columbia Pictures Corp.,Columbia Pictures
28,tt0040525,The Lady from Shanghai,1947,"Crime, Drama, Film-Noir",87,Orson Welles,"Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders, Ted de Corsia, Erskine Sanford, Gus Schilling, Carl Frank, Louis Merrill, Evelyn Ellis, Harry Shannon",7.6,0,The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),Columbia Pictures Corp.,Columbia Pictures
29,tt0040852,Superman,1948,Sci-Fi,244,"Spencer Gordon Bennet, Thomas Carr","Kirk Alyn, Noel Neill, Tommy Bond, Carol Forman, George Meeker, Jack Ingram, Pierre Watkin, Terry Frost, Charles King, Charles Quigley, Herbert Rawlinson, Forrest Taylor, Stephen Carr, Rusty Wescoatt",7.0,0,Superman,1978,Golden Gate Bridge,Dovemead Films,Warner Bros. Pictures
30,tt0070754,Superman,1973,"Action, Adventure, Sci-Fi",104,,"George Reeves, Noel Neill, Jack Larson, John Hamilton, Robert Shayne, Everett Glass, Keith Richards, Ben Welden, Bruce Wendell, Joel Riordan, John Ayres, Joi Lansing, John Eldredge, John Bennes, Harry Arnie",6.5,0,Superman,1978,Golden Gate Bridge,Dovemead Films,Warner Bros. Pictures
31,tt0078346,Superman,1978,"Action, Adventure, Drama",143,Richard Donner,"Marlon Brando, Gene Hackman, Christopher Reeve, Ned Beatty, Jackie Cooper, Glenn Ford, Trevor Howard, Margot Kidder, Jack O'Halloran, Valerie Perrine, Maria Schell, Terence Stamp, Phyllis Thaxter, Susannah York, Jeff East",7.3,300451667,Superman,1978,Golden Gate Bridge,Dovemead Films,Warner Bros. Pictures
32,tt0334440,Superman,1997,"Comedy, Thriller",150,"Meccartin, Raffi","Jayaram, Shobana, Jagadish, Siddique, Sphadikam George, Cochin Hanifa, Janardanan, Innocent, Sreeja, Nedumudi Venu, Zeenath, Vinduja Menon, Bindu Panikkar, T.P. Madhavan, Krishna Kumar",6.6,0,Superman,1978,Golden Gate Bridge,Dovemead Films,Warner Bros. Pictures
33,tt0040887,To the Ends of the Earth,1948,"Crime, Film-Noir, Thriller",109,Robert Stevenson,"Dick Powell, Signe Hasso, Maylia, Ludwig Donath, Vladimir Sokoloff, Edgar Barrier, John Hoyt, Marcel Journet, Luis Van Rooten, Fritz Leiber, Harry J. Anslinger",7.0,0,To the Ends of the Earth,1948,,Kennedy-Buckman Pictures,Columbia Pictures
34,tt0041346,The Fan,1949,"Comedy, Romance",89,Otto Preminger,"Jeanne Crain, Madeleine Carroll, George Sanders, Richard Greene, Martita Hunt, John Sutton, Hugh Dempster, Richard Ney, Virginia McDowall, Randy Stuart",6.6,0,The Fan,1996,Candlestick Park (602 Jamestown Ave.),Mandalay Entertainment,Columbia TriStar
35,tt0042192,All About Eve,1950,Drama,138,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White",8.2,150438,All About Eve,1950,Curran Theater (445 Geary Street),Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.
36,tt0043142,Woman on the Run,1950,"Crime, Drama, Film-Noir",77,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith, John Qualen, Frank Jenks, Ross Elliott, Jane Liddell, Joan Shawlee, J. Farrell MacDonald, Steven Geray, Victor Sen Yung, Reiko Sato, Syd Saylor, Tom Dillon",7.3,0,Woman on the Run,1950,835-865 Market Street at 5th Street,Fidelity Pictures Corporation,Universal Pictures
37,tt0043142,Woman on the Run,1950,"Crime, Drama, Film-Noir",77,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith, John Qualen, Frank Jenks, Ross Elliott, Jane Liddell, Joan Shawlee, J. Farrell MacDonald, Steven Geray, Victor Sen Yung, Reiko Sato, Syd Saylor, Tom Dillon",7.3,0,Woman on the Run,1950,819 Mason Street at Pine,Fidelity Pictures Corporation,Universal Pictures
38,tt0043142,Woman on the Run,1950,"Crime, Drama, Film-Noir",77,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith, John Qualen, Frank Jenks, Ross Elliott, Jane Liddell, Joan Shawlee, J. Farrell MacDonald, Steven Geray, Victor Sen Yung, Reiko Sato, Syd Saylor, Tom Dillon",7.3,0,Woman on the Run,1950,1801 Laguna at Bush,Fidelity Pictures Corporation,Universal Pictures
39,tt0043142,Woman on the Run,1950,"Crime, Drama, Film-Noir",77,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith, John Qualen, Frank Jenks, Ross Elliott, Jane Liddell, Joan Shawlee, J. Farrell MacDonald, Steven Geray, Victor Sen Yung, Reiko Sato, Syd Saylor, Tom Dillon",7.3,0,Woman on the Run,1950,Former Hall of Justice (750 Kearny Street at Washington),Fidelity Pictures Corporation,Universal Pictures
40,tt0043142,Woman on the Run,1950,"Crime, Drama, Film-Noir",77,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith, John Qualen, Frank Jenks, Ross Elliott, Jane Liddell, Joan Shawlee, J. Farrell MacDonald, Steven Geray, Victor Sen Yung, Reiko Sato, Syd Saylor, Tom Dillon",7.3,0,Woman on the Run,1950,772 Commercial Street at Kearney,Fidelity Pictures Corporation,Universal Pictures
41,tt0043142,Woman on the Run,1950,"Crime, Drama, Film-Noir",77,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith, John Qualen, Frank Jenks, Ross Elliott, Jane Liddell, Joan Shawlee, J. Farrell MacDonald, Steven Geray, Victor Sen Yung, Reiko Sato, Syd Saylor, Tom Dillon",7.3,0,Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),Fidelity Pictures Corporation,Universal Pictures
42,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,Balmy Street (Mission District),Warner Bros. Pictures,Warner Bros. Pictures
43,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,Sutter & Webster Streets,Warner Bros. Pictures,Warner Bros. Pictures
44,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Warner Bros. Pictures,Warner Bros. Pictures
45,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,23rd & Capp Streets (Mission District),Warner Bros. Pictures,Warner Bros. Pictures
46,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,24th Street Mini Park (Mission District),Warner Bros. Pictures,Warner Bros. Pictures
47,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,Hall of Justice,Warner Bros. Pictures,Warner Bros. Pictures
48,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,Alcatraz Island,Warner Bros. Pictures,Warner Bros. Pictures
49,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,City Hall,Warner Bros. Pictures,Warner Bros. Pictures
50,tt0043503,The Enforcer,1951,"Crime, Film-Noir, Thriller",87,"Bretaigne Windust, Raoul Walsh","Humphrey Bogart, Zero Mostel, Ted de Corsia, Everett Sloane, Roy Roberts, Michael Tolan, King Donovan, Bob Steele, Adelaide Klein, Don Beddoe, Tito Vuolo, John Kellogg, Jack Lambert",7.3,0,The Enforcer,1976,Coit Tower,Warner Bros. Pictures,Warner Bros. Pictures
51,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,Balmy Street (Mission District),Warner Bros. Pictures,Warner Bros. Pictures
52,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,Sutter & Webster Streets,Warner Bros. Pictures,Warner Bros. Pictures
53,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Warner Bros. Pictures,Warner Bros. Pictures
54,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,23rd & Capp Streets (Mission District),Warner Bros. Pictures,Warner Bros. Pictures
55,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,24th Street Mini Park (Mission District),Warner Bros. Pictures,Warner Bros. Pictures
56,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,Hall of Justice,Warner Bros. Pictures,Warner Bros. Pictures
57,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,Alcatraz Island,Warner Bros. Pictures,Warner Bros. Pictures
58,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,City Hall,Warner Bros. Pictures,Warner Bros. Pictures
59,tt0074483,The Enforcer,1976,"Action, Crime, Thriller",96,James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum, DeVeren Bookwalter, John Crawford, Samantha Doane, Bob Hoy, Jocelyn Jones, M.G. Kelly, Nick Pellegrino, Albert Popwell, Rudy Ramos, Bill Ackridge",6.8,46236000,The Enforcer,1976,Coit Tower,Warner Bros. Pictures,Warner Bros. Pictures
60,tt0043660,The House on Telegraph Hill,1951,"Crime, Drama, Film-Noir",93,Robert Wise,"Richard Basehart, Valentina Cortese, William Lundigan, Fay Baker, Gordon Gebert, Steven Geray, Herb Butterfield, Kei Thin Chung, John Burton, Katherine Meskill, Mario Siletti, Charles Wagenheim, David Clarke, Tamara Schee, Natasha Lytess",7.0,0,The House on Telegraph Hill,1951,Coit Tower,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.
